admin@example.com,B8299A8D-494A-4F4F-9E09-7E51720789F3,JAvlGPq9JyTdtvBO6x2llnRI1+gxwIyPqCKAn3THIKk=,Admin
marly@gmail.com,e97a3c24-60ec-4c86-be6d-d2ac4460d97f,,Patient
marly@gmail.com,e4e44828-01b1-417b-a6a6-726b73421354,,Patient
marly@gmail.com,2301d4d4-9796-4f52-ba34-921526be6bf9,,Patient
marly@gmail.com,00409c9a-bede-46c7-a5f4-ce3841636b27,,Patient
marly@gmail.com,737cb4e4-889c-486e-a6cc-18445c082c07,,Patient
,23649b09-c74a-4fdc-89ef-51f9c3c96774,,Patient
marly@gmail.com,97e122a2-49dc-46e0-bc98-860c8ea7d917,,Patient
marly@gmail.com,72166ddb-3bf1-4550-8f25-5f4174e183f3,,Patient
,46f14d15-4c09-4370-a37d-d9a1458b4388,,Patient
azza@gmail.com,2ae570e5-793f-4d87-8169-a2afafe90f71,,Patient
azza@gmail.com,2985a9b5-9a66-4005-ba14-dbb352264c69,,Patient
dada@gmail.com,f62d2da3-b091-4982-9e8e-80770487b795,rAv/BNajvmLOwL7qNePr8exGQ3t04rB2A4S7IzN24hQ=,Patient
